ArchiveID,FileType,AccessFrequency,StorageCondition,BackupStatus,InitialFiles,CorruptionRisk,YearsStored
AR1001,SystemLogs,4,Poor,No,888,0.07,12
AR1002,Chats,10,Medium,No,955,0.05,7
AR1003,Audio,23,Good,No,3434,0.11,4
AR1004,Videos,8,Good,No,3224,0.03,3
AR1005,CloudBackups,1,Good,Yes,4596,0.07,6
AR1006,Chats,14,Poor,No,1803,0.05,15
AR1007,CloudBackups,14,Medium,No,4824,0.02,15
AR1008,Photos,3,Medium,Yes,2277,0.07,2
AR1009,Photos,4,Medium,No,4626,0.08,14
AR1010,Emails,17,Poor,Yes,4021,0.07,8
AR1011,CloudBackups,18,Poor,No,2039,0.12,11
AR1012,Documents,22,Poor,No,4548,0.03,8
AR1013,Videos,15,Poor,Yes,4589,0.03,12
AR1014,Videos,11,Good,Yes,1060,0.07,10
AR1015,Videos,12,Medium,Yes,1382,0.14,5
AR1016,Photos,11,Medium,Yes,1898,0.1,9
AR1017,Videos,14,Good,No,4259,0.11,6
AR1018,Chats,23,Medium,Yes,1778,0.06,11
AR1019,Emails,6,Poor,No,1251,0.14,6
AR1020,Photos,13,Medium,Yes,101,0.09,3
AR1021,SystemLogs,21,Medium,No,371,0.04,1
AR1022,Videos,18,Medium,Yes,4416,0.03,14
AR1023,Documents,14,Good,No,4297,0.1,12
AR1024,Documents,20,Good,Yes,3672,0.04,2
AR1025,Chats,14,Poor,Yes,4372,0.03,11
AR1026,Emails,16,Good,No,3810,0.08,6
AR1027,CloudBackups,13,Good,No,2097,0.08,11
AR1028,Emails,20,Poor,No,2651,0.09,10
AR1029,Documents,17,Medium,No,3354,0.1,8
AR1030,Videos,14,Poor,Yes,2134,0.14,8
AR1031,SystemLogs,19,Poor,Yes,1701,0.09,15
AR1032,SystemLogs,13,Medium,Yes,4329,0.14,8
AR1033,Emails,19,Poor,No,4901,0.05,1
AR1034,Photos,7,Good,Yes,4963,0.09,6
AR1035,CloudBackups,1,Poor,No,301,0.06,7
AR1036,CloudBackups,2,Good,No,1327,0.09,8
AR1037,Audio,21,Medium,Yes,4050,0.06,10
AR1038,Documents,10,Good,No,3620,0.15,2
AR1039,Chats,23,Poor,No,935,0.11,1
AR1040,Documents,21,Good,Yes,2762,0.11,9
AR1041,SystemLogs,17,Medium,Yes,2999,0.02,2
AR1042,Photos,8,Good,No,4332,0.05,1
AR1043,Audio,5,Medium,No,4199,0.1,2
AR1044,SystemLogs,8,Medium,No,1892,0.12,12
AR1045,Emails,10,Medium,No,3538,0.05,5
AR1046,Emails,7,Poor,Yes,4650,0.03,14
AR1047,Videos,4,Good,Yes,1958,0.11,10
AR1048,Audio,7,Medium,Yes,1493,0.02,12
AR1049,Documents,16,Medium,No,2165,0.14,8
AR1050,SystemLogs,16,Good,Yes,151,0.13,4
AR1051,Videos,5,Medium,Yes,1224,0.11,2
AR1052,Audio,6,Medium,No,3403,0.05,4
AR1053,SystemLogs,15,Medium,No,4422,0.09,7
AR1054,Documents,7,Poor,No,2683,0.15,1
AR1055,Documents,16,Good,Yes,3103,0.05,13
AR1056,Audio,17,Good,No,1011,0.05,13
AR1057,Videos,11,Medium,Yes,3904,0.13,13
AR1058,SystemLogs,12,Good,No,3283,0.08,8
AR1059,Audio,21,Poor,No,4472,0.04,6
AR1060,Chats,12,Poor,No,1094,0.09,15
AR1061,Photos,8,Poor,No,268,0.02,5
AR1062,Documents,7,Poor,No,4391,0.02,3
AR1063,Documents,19,Good,No,4366,0.08,12
AR1064,SystemLogs,3,Poor,Yes,1179,0.08,5
AR1065,Photos,25,Poor,Yes,1913,0.09,3
AR1066,Documents,25,Medium,No,1276,0.02,7
AR1067,Documents,21,Good,Yes,3931,0.13,4
AR1068,Chats,8,Medium,Yes,1065,0.09,4
AR1069,Chats,2,Poor,Yes,4225,0.04,7
AR1070,Chats,24,Medium,No,4601,0.09,4
AR1071,Chats,14,Good,Yes,1683,0.12,8
AR1072,Chats,23,Poor,No,1536,0.1,1
AR1073,CloudBackups,17,Good,Yes,1643,0.04,13
AR1074,Videos,25,Good,No,1854,0.05,9
AR1075,Chats,3,Good,Yes,1244,0.07,7
AR1076,Videos,9,Good,Yes,792,0.15,8
AR1077,Photos,25,Medium,Yes,3066,0.05,6
AR1078,Emails,3,Medium,No,1080,0.02,8
AR1079,SystemLogs,11,Good,No,3579,0.02,9
AR1080,Documents,11,Poor,No,4756,0.01,2
AR1081,Photos,3,Medium,Yes,1623,0.03,10
AR1082,Photos,14,Good,Yes,4997,0.07,10
AR1083,Documents,2,Good,No,4232,0.06,1
AR1084,Videos,3,Good,Yes,2933,0.13,7
AR1085,Emails,9,Medium,No,2067,0.03,7
AR1086,Audio,18,Medium,No,2353,0.06,2
AR1087,Documents,15,Good,Yes,2152,0.06,4
AR1088,Photos,24,Poor,No,4188,0.12,1
AR1089,SystemLogs,5,Good,Yes,615,0.03,7
AR1090,Videos,9,Medium,Yes,887,0.11,4
AR1091,Chats,13,Poor,Yes,4143,0.01,13
AR1092,Photos,6,Poor,Yes,2810,0.13,15
AR1093,Photos,9,Poor,Yes,598,0.07,13
AR1094,Audio,20,Medium,Yes,4843,0.08,8
AR1095,Photos,21,Poor,No,209,0.09,2
AR1096,Photos,24,Poor,No,3075,0.12,4
AR1097,Photos,22,Medium,No,3958,0.11,14
AR1098,Emails,5,Good,Yes,4447,0.12,12
AR1099,Photos,4,Poor,No,3201,0.05,2
AR1100,SystemLogs,25,Medium,No,3889,0.06,11
