ArchiveID,FileType,AccessFrequency,StorageCondition,BackupStatus,InitialFiles,CorruptionRisk,YearsStored
AR2001,Emails,12,Poor,No,2741,0.05,8
AR2002,Documents,10,Good,Yes,587,0.12,4
AR2003,CloudBackups,20,Medium,No,354,0.12,4
AR2004,Videos,13,Good,No,299,0.13,8
AR2005,CloudBackups,18,Poor,Yes,4807,0.02,11
AR2006,Emails,12,Medium,No,3646,0.03,4
AR2007,Photos,23,Poor,No,3879,0.15,8
AR2008,Audio,17,Good,Yes,4670,0.01,15
AR2009,SystemLogs,10,Good,No,2929,0.07,9
AR2010,Emails,4,Medium,No,233,0.09,1
AR2011,SystemLogs,23,Medium,Yes,4646,0.11,15
AR2012,Videos,17,Medium,No,3552,0.14,14
AR2013,Photos,17,Poor,No,2309,0.06,14
AR2014,Emails,16,Good,Yes,4662,0.07,7
AR2015,Emails,5,Poor,Yes,365,0.11,2
AR2016,CloudBackups,19,Poor,No,2172,0.12,15
AR2017,SystemLogs,11,Medium,No,4283,0.07,3
AR2018,Photos,23,Medium,No,2728,0.03,2
AR2019,SystemLogs,1,Medium,Yes,4665,0.13,11
AR2020,SystemLogs,22,Good,Yes,3284,0.04,4
AR2021,Documents,3,Medium,Yes,608,0.02,13
AR2022,Videos,9,Poor,Yes,2004,0.02,15
AR2023,SystemLogs,23,Medium,Yes,619,0.06,15
AR2024,Documents,4,Medium,Yes,3754,0.14,3
AR2025,Videos,24,Poor,Yes,4189,0.12,8
AR2026,Audio,23,Good,No,2727,0.04,1
AR2027,Videos,23,Medium,Yes,3726,0.07,11
AR2028,Videos,22,Poor,No,1523,0.13,14
AR2029,Videos,22,Medium,Yes,4173,0.09,4
AR2030,Chats,13,Medium,Yes,1372,0.06,15
AR2031,Documents,16,Medium,No,678,0.05,4
AR2032,Emails,25,Medium,Yes,4621,0.15,14
AR2033,Photos,16,Poor,No,1508,0.12,5
AR2034,SystemLogs,3,Good,No,1692,0.03,4
AR2035,Audio,8,Poor,Yes,3275,0.02,10
AR2036,CloudBackups,7,Medium,Yes,2801,0.09,9
AR2037,Videos,5,Medium,Yes,905,0.05,12
AR2038,Videos,2,Medium,Yes,402,0.13,1
AR2039,SystemLogs,2,Good,Yes,1111,0.12,15
AR2040,Photos,6,Good,Yes,4520,0.1,11
AR2041,Emails,25,Good,No,3315,0.05,4
AR2042,SystemLogs,7,Poor,No,1026,0.13,8
AR2043,SystemLogs,20,Poor,Yes,2292,0.03,14
AR2044,SystemLogs,21,Poor,No,4634,0.09,4
AR2045,CloudBackups,21,Good,Yes,4522,0.15,9
AR2046,Chats,2,Medium,No,3531,0.13,10
AR2047,Audio,1,Good,No,4104,0.14,14
AR2048,Documents,15,Good,Yes,4816,0.07,2
AR2049,Documents,1,Poor,Yes,2282,0.01,15
AR2050,SystemLogs,22,Medium,No,3440,0.14,14
AR2051,Documents,2,Poor,No,4054,0.06,14
AR2052,Chats,20,Medium,No,3959,0.1,12
AR2053,Documents,3,Poor,Yes,4231,0.14,1
AR2054,Chats,6,Medium,No,1781,0.13,12
AR2055,Emails,3,Good,Yes,2110,0.12,8
AR2056,Documents,7,Medium,No,2001,0.15,10
AR2057,Audio,17,Medium,Yes,3605,0.07,11
AR2058,Emails,23,Good,No,3696,0.11,10
AR2059,Emails,23,Good,No,4250,0.12,10
AR2060,SystemLogs,23,Good,Yes,3981,0.11,8
AR2061,Documents,9,Good,No,1329,0.07,2
AR2062,Audio,23,Poor,Yes,4329,0.09,13
AR2063,CloudBackups,17,Poor,No,896,0.15,9
AR2064,Chats,24,Medium,No,3040,0.04,1
AR2065,Emails,1,Medium,No,4974,0.08,9
AR2066,Photos,12,Poor,No,3029,0.04,3
AR2067,Chats,3,Poor,No,1717,0.13,15
AR2068,Emails,1,Medium,No,2766,0.09,10
AR2069,Videos,5,Good,No,851,0.12,14
AR2070,Chats,5,Medium,No,740,0.12,11
AR2071,Audio,2,Good,No,2557,0.06,7
AR2072,Audio,24,Poor,No,2856,0.02,7
AR2073,Audio,6,Medium,Yes,1117,0.01,6
AR2074,Photos,22,Poor,Yes,1591,0.15,1
AR2075,SystemLogs,20,Medium,Yes,4153,0.05,8
AR2076,Audio,2,Good,Yes,2791,0.07,5
AR2077,Chats,7,Poor,No,860,0.12,5
AR2078,SystemLogs,11,Good,Yes,593,0.04,7
AR2079,Photos,5,Good,No,407,0.07,12
AR2080,Documents,22,Medium,Yes,4162,0.05,4
AR2081,Photos,2,Poor,No,3469,0.05,12
AR2082,Photos,17,Poor,Yes,3779,0.02,1
AR2083,Photos,16,Medium,No,4023,0.08,10
AR2084,CloudBackups,3,Poor,Yes,2520,0.09,11
AR2085,Documents,20,Good,Yes,1993,0.08,9
AR2086,Chats,11,Good,No,1731,0.02,15
AR2087,SystemLogs,20,Poor,Yes,973,0.1,8
AR2088,Emails,5,Poor,Yes,3078,0.1,1
AR2089,Audio,13,Poor,No,3211,0.03,3
AR2090,Emails,14,Good,Yes,230,0.04,9
AR2091,CloudBackups,1,Medium,No,1799,0.05,13
AR2092,Audio,20,Medium,No,3665,0.12,14
AR2093,Audio,15,Good,Yes,3917,0.01,10
AR2094,Chats,24,Poor,No,4046,0.11,8
AR2095,Chats,14,Poor,No,1017,0.13,13
AR2096,Chats,14,Good,No,4952,0.12,4
AR2097,Emails,11,Good,Yes,2928,0.12,14
AR2098,Videos,14,Medium,Yes,4064,0.09,13
AR2099,Emails,5,Poor,Yes,1648,0.05,7
AR2100,Documents,15,Medium,No,1382,0.14,11
