ArchiveID,FileType,AccessFrequency,StorageCondition,BackupStatus,InitialFiles,CorruptionRisk,YearsStored
AR5001,CloudBackups,25,Medium,No,1151,0.06,5
AR5002,Photos,7,Good,Yes,1200,0.1,11
AR5003,Emails,20,Good,No,3392,0.11,9
AR5004,Chats,19,Poor,No,3133,0.08,14
AR5005,Photos,8,Poor,No,3284,0.12,8
AR5006,Photos,7,Poor,No,1670,0.07,12
AR5007,Audio,21,Good,No,3332,0.15,13
AR5008,SystemLogs,9,Good,Yes,3413,0.11,8
AR5009,CloudBackups,17,Poor,Yes,3510,0.12,13
AR5010,Chats,4,Medium,No,549,0.06,5
AR5011,Emails,23,Medium,Yes,4881,0.02,7
AR5012,Photos,15,Poor,No,3183,0.04,2
AR5013,CloudBackups,14,Medium,Yes,1282,0.11,15
AR5014,Documents,4,Good,No,234,0.08,6
AR5015,Emails,24,Medium,Yes,2131,0.03,4
AR5016,SystemLogs,8,Good,No,2384,0.11,1
AR5017,Videos,23,Good,Yes,2566,0.02,14
AR5018,Photos,14,Poor,Yes,1353,0.06,10
AR5019,Chats,7,Good,No,2848,0.04,7
AR5020,CloudBackups,16,Good,No,1740,0.03,10
AR5021,Documents,21,Good,Yes,1659,0.15,9
AR5022,SystemLogs,14,Good,Yes,866,0.13,7
AR5023,SystemLogs,17,Poor,No,783,0.04,11
AR5024,Emails,15,Good,Yes,974,0.09,8
AR5025,CloudBackups,8,Good,No,239,0.14,10
AR5026,Chats,16,Good,Yes,2848,0.02,6
AR5027,CloudBackups,11,Good,No,1217,0.04,7
AR5028,Documents,6,Poor,Yes,962,0.06,11
AR5029,Audio,22,Medium,Yes,2170,0.12,3
AR5030,Documents,9,Good,Yes,947,0.15,3
AR5031,CloudBackups,5,Poor,No,1844,0.06,2
AR5032,Emails,24,Poor,Yes,1838,0.12,9
AR5033,SystemLogs,12,Medium,No,1895,0.06,5
AR5034,Documents,1,Good,No,390,0.04,12
AR5035,Documents,1,Good,Yes,3950,0.02,10
AR5036,Photos,2,Poor,No,2980,0.09,11
AR5037,CloudBackups,14,Good,No,4937,0.12,14
AR5038,Videos,3,Medium,No,4938,0.12,9
AR5039,Emails,18,Poor,Yes,1775,0.11,1
AR5040,Audio,2,Good,No,882,0.02,2
AR5041,SystemLogs,4,Medium,Yes,2032,0.04,10
AR5042,CloudBackups,8,Medium,Yes,2675,0.06,8
AR5043,Documents,18,Poor,Yes,1739,0.14,1
AR5044,Emails,4,Poor,No,1171,0.04,12
AR5045,CloudBackups,23,Poor,No,3831,0.06,15
AR5046,Audio,18,Medium,Yes,4468,0.07,2
AR5047,CloudBackups,4,Good,No,3500,0.02,5
AR5048,Audio,5,Medium,Yes,1527,0.07,6
AR5049,Documents,23,Poor,Yes,832,0.13,2
AR5050,CloudBackups,5,Good,Yes,1193,0.13,10
AR5051,SystemLogs,5,Medium,No,1256,0.12,14
AR5052,Emails,3,Medium,No,1048,0.09,6
AR5053,SystemLogs,1,Good,No,4366,0.08,1
AR5054,Videos,11,Medium,No,4578,0.13,9
AR5055,SystemLogs,10,Poor,No,2914,0.11,6
AR5056,CloudBackups,17,Poor,No,280,0.13,6
AR5057,CloudBackups,22,Poor,Yes,4345,0.04,12
AR5058,SystemLogs,11,Poor,Yes,3204,0.1,2
AR5059,Documents,23,Good,Yes,2776,0.13,1
AR5060,Photos,4,Medium,No,2768,0.04,1
AR5061,Documents,23,Good,No,1461,0.12,4
AR5062,Emails,11,Poor,No,1956,0.1,10
AR5063,Audio,6,Good,No,2641,0.04,3
AR5064,Emails,12,Medium,No,3720,0.14,13
AR5065,Photos,12,Poor,Yes,2816,0.05,5
AR5066,SystemLogs,15,Poor,Yes,277,0.02,15
AR5067,Documents,3,Good,Yes,660,0.14,4
AR5068,Photos,17,Medium,No,2679,0.1,2
AR5069,Documents,6,Poor,No,4510,0.03,2
AR5070,CloudBackups,7,Good,No,1638,0.12,4
AR5071,CloudBackups,23,Poor,No,2260,0.05,2
AR5072,CloudBackups,18,Poor,Yes,4678,0.07,8
AR5073,Audio,18,Good,No,1650,0.03,5
AR5074,Documents,25,Good,Yes,2815,0.12,6
AR5075,CloudBackups,15,Poor,Yes,2788,0.06,4
AR5076,Videos,1,Medium,Yes,1657,0.08,15
AR5077,Videos,18,Good,Yes,4821,0.06,10
AR5078,Videos,24,Good,No,2634,0.05,12
AR5079,Chats,9,Medium,No,3178,0.12,11
AR5080,Emails,9,Good,Yes,1355,0.07,5
AR5081,Emails,20,Good,Yes,3326,0.05,12
AR5082,Chats,6,Good,Yes,2233,0.01,15
AR5083,SystemLogs,17,Medium,No,4165,0.11,2
AR5084,Emails,11,Good,Yes,237,0.14,15
AR5085,Audio,18,Good,No,2344,0.07,6
AR5086,Documents,1,Poor,No,2277,0.02,5
AR5087,Photos,6,Good,Yes,3116,0.11,4
AR5088,Documents,12,Medium,No,460,0.08,12
AR5089,Chats,21,Poor,No,1483,0.13,3
AR5090,Chats,5,Medium,Yes,4520,0.04,14
AR5091,Documents,21,Poor,Yes,390,0.12,9
AR5092,Photos,13,Poor,No,3468,0.06,3
AR5093,Documents,25,Poor,No,4391,0.12,7
AR5094,SystemLogs,14,Good,No,2077,0.11,6
AR5095,Documents,9,Poor,No,3503,0.13,14
AR5096,Documents,24,Poor,Yes,3966,0.03,4
AR5097,CloudBackups,3,Poor,Yes,3222,0.01,10
AR5098,Audio,11,Medium,Yes,2033,0.07,14
AR5099,Documents,7,Good,Yes,4703,0.1,5
AR5100,Chats,10,Medium,No,4211,0.12,5
