ArchiveID,FileType,AccessFrequency,StorageCondition,BackupStatus,InitialFiles,CorruptionRisk,YearsStored
AR4001,CloudBackups,3,Good,No,2634,0.04,14
AR4002,Audio,20,Medium,Yes,2972,0.13,11
AR4003,Documents,11,Medium,No,2148,0.11,15
AR4004,Documents,5,Medium,No,1296,0.03,9
AR4005,Audio,23,Good,Yes,3023,0.14,9
AR4006,Videos,3,Poor,Yes,1672,0.04,7
AR4007,Chats,5,Good,Yes,3011,0.12,3
AR4008,Videos,13,Poor,Yes,223,0.09,1
AR4009,SystemLogs,22,Good,No,3566,0.02,1
AR4010,Documents,16,Good,Yes,4892,0.06,5
AR4011,Audio,14,Good,Yes,1752,0.07,6
AR4012,Videos,10,Medium,No,1995,0.07,3
AR4013,Videos,5,Poor,No,975,0.15,10
AR4014,Documents,23,Good,No,2579,0.02,12
AR4015,Chats,18,Good,Yes,1031,0.06,8
AR4016,SystemLogs,14,Good,No,1841,0.11,12
AR4017,CloudBackups,8,Poor,No,2194,0.04,12
AR4018,SystemLogs,5,Good,Yes,3124,0.09,8
AR4019,Videos,20,Poor,No,2810,0.04,4
AR4020,Photos,17,Poor,Yes,511,0.06,12
AR4021,Documents,5,Medium,Yes,1148,0.11,5
AR4022,Emails,17,Good,Yes,1675,0.07,9
AR4023,Documents,25,Medium,No,1369,0.04,7
AR4024,Photos,15,Medium,No,258,0.09,2
AR4025,CloudBackups,21,Medium,No,468,0.06,4
AR4026,Documents,21,Medium,Yes,852,0.02,1
AR4027,Emails,18,Medium,Yes,4417,0.06,12
AR4028,Videos,18,Good,No,2027,0.03,15
AR4029,Emails,18,Poor,No,1503,0.11,2
AR4030,CloudBackups,24,Poor,Yes,3024,0.1,1
AR4031,SystemLogs,7,Good,Yes,1128,0.03,1
AR4032,Documents,6,Good,Yes,1499,0.15,13
AR4033,Videos,22,Medium,No,231,0.14,6
AR4034,SystemLogs,24,Good,No,2937,0.14,13
AR4035,SystemLogs,12,Poor,Yes,2922,0.07,13
AR4036,SystemLogs,5,Medium,Yes,157,0.03,14
AR4037,CloudBackups,21,Good,Yes,4868,0.05,15
AR4038,Audio,22,Good,No,3734,0.13,10
AR4039,Photos,25,Good,No,1151,0.14,1
AR4040,Audio,20,Poor,Yes,4453,0.11,1
AR4041,SystemLogs,14,Good,No,3111,0.04,3
AR4042,Emails,25,Good,Yes,1055,0.03,13
AR4043,Videos,13,Medium,No,1923,0.12,10
AR4044,Chats,10,Poor,Yes,1848,0.14,14
AR4045,Photos,4,Medium,No,330,0.03,7
AR4046,Audio,9,Good,No,2300,0.04,7
AR4047,Photos,15,Medium,Yes,827,0.12,15
AR4048,Audio,7,Medium,No,4153,0.05,10
AR4049,Videos,22,Good,Yes,124,0.03,11
AR4050,Videos,5,Good,No,2417,0.05,4
AR4051,Emails,9,Medium,Yes,4357,0.04,8
AR4052,SystemLogs,1,Good,Yes,4102,0.03,10
AR4053,CloudBackups,19,Medium,Yes,1238,0.03,7
AR4054,Emails,23,Poor,Yes,1082,0.14,3
AR4055,Chats,24,Good,Yes,2650,0.03,9
AR4056,Chats,23,Good,Yes,4527,0.03,11
AR4057,Audio,23,Good,No,2716,0.1,12
AR4058,Videos,6,Poor,Yes,2700,0.13,4
AR4059,Emails,14,Poor,No,4154,0.03,4
AR4060,Photos,24,Medium,No,1291,0.04,12
AR4061,Photos,6,Poor,Yes,1562,0.14,11
AR4062,Photos,24,Medium,Yes,762,0.01,14
AR4063,Photos,23,Good,Yes,4961,0.02,8
AR4064,Photos,14,Medium,No,2679,0.02,4
AR4065,Chats,21,Poor,Yes,3125,0.09,13
AR4066,Videos,16,Medium,Yes,189,0.1,10
AR4067,Videos,5,Good,Yes,1357,0.07,14
AR4068,Audio,16,Good,Yes,1585,0.15,13
AR4069,Documents,3,Poor,No,976,0.08,13
AR4070,Chats,24,Good,Yes,3524,0.12,10
AR4071,Videos,21,Good,No,1451,0.01,13
AR4072,CloudBackups,2,Medium,Yes,4367,0.13,6
AR4073,Emails,14,Good,No,2471,0.14,6
AR4074,Audio,1,Good,Yes,4851,0.06,11
AR4075,Audio,17,Good,No,4397,0.15,8
AR4076,Photos,2,Medium,No,357,0.05,15
AR4077,Audio,15,Good,Yes,142,0.08,7
AR4078,CloudBackups,24,Medium,Yes,1818,0.13,9
AR4079,Chats,13,Medium,No,2121,0.09,5
AR4080,Emails,25,Medium,No,905,0.07,13
AR4081,Emails,13,Medium,Yes,2037,0.13,10
AR4082,Chats,17,Medium,No,4781,0.13,3
AR4083,Documents,9,Medium,Yes,1956,0.14,14
AR4084,CloudBackups,1,Poor,No,3246,0.13,15
AR4085,SystemLogs,7,Good,No,1479,0.02,11
AR4086,Photos,8,Medium,No,2168,0.12,3
AR4087,Audio,17,Medium,No,3291,0.12,3
AR4088,Videos,17,Good,Yes,4018,0.07,12
AR4089,Videos,25,Medium,No,4912,0.08,15
AR4090,SystemLogs,20,Medium,Yes,1234,0.06,13
AR4091,Videos,12,Poor,Yes,756,0.05,14
AR4092,Chats,19,Medium,No,1297,0.07,12
AR4093,Photos,7,Good,Yes,4503,0.02,3
AR4094,Audio,2,Medium,Yes,3132,0.13,14
AR4095,Videos,2,Poor,No,4293,0.06,9
AR4096,Videos,16,Good,Yes,2257,0.08,15
AR4097,CloudBackups,15,Poor,No,4745,0.05,7
AR4098,Videos,22,Poor,Yes,1189,0.1,10
AR4099,SystemLogs,10,Poor,Yes,4556,0.02,1
AR4100,Emails,20,Medium,Yes,2062,0.03,6
